Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
37.0,1,1,16.0,3,1,3,5.0,1,4.0,1,4.0,1,4,1,1.0,2,27525.0,0
44.0,0,1,6.0,3,1,2,3.0,0,4.0,1,2.0,1,3,1,1.0,1,17342.0,1
34.0,0,3,7.0,2,0,3,3.0,1,5.0,0,4.0,0,3,1,1.0,2,24054.0,0
50.0,1,1,10.0,2,1,3,3.0,2,4.0,1,4.0,0,5,1,0.0,4,34144.0,0
23.0,1,1,12.0,2,1,3,1.0,0,5.0,1,2.0,1,3,0,0.0,1,16601.0,1
57.0,1,1,21.0,2,0,4,4.0,0,4.0,1,2.0,1,5,1,1.0,1,23641.0,1
35.0,1,3,15.0,1,1,4,2.0,1,3.0,1,3.0,0,1,0,3.0,2,25477.0,0
30.0,1,1,32.0,1,0,4,5.0,0,4.0,1,7.0,0,3,1,3.0,1,21224.0,1
29.0,0,3,6.0,3,0,2,3.0,3,3.0,0,2.0,0,3,1,0.0,3,22918.0,0
39.0,0,1,9.0,2,1,3,4.0,0,3.0,0,3.0,1,5,1,2.0,1,20380.0,0
30.0,0,1,7.0,2,1,4,6.0,0,3.0,1,3.0,0,2,1,1.0,1,21398.0,0
34.0,0,1,22.0,2,0,3,4.0,0,3.0,2,2.0,0,5,1,1.0,1,17553.0,0
60.0,1,3,10.0,2,0,3,5.0,1,3.0,3,7.0,0,3,0,1.0,2,23849.0,0
28.0,1,1,9.0,2,0,3,4.0,0,5.0,1,3.0,0,3,0,2.0,1,21019.0,0
19.0,0,3,6.0,1,0,3,5.0,0,5.0,2,1.0,0,3,1,1.0,1,17325.0,1
39.0,1,3,9.0,3,0,2,3.0,1,3.0,0,5.0,1,4,1,1.0,2,20238.0,1
42.0,1,3,7.0,3,1,3,3.0,3,5.0,0,3.0,0,3,1,2.0,3,27070.0,0
52.0,1,3,28.0,3,1,4,4.0,1,3.0,3,2.0,1,5,0,3.0,2,24119.0,0
37.0,1,1,13.0,3,1,1,3.0,3,3.0,2,5.0,0,2,0,0.0,3,28664.0,0
58.0,1,3,27.0,2,0,3,3.0,4,3.0,1,5.0,1,5,1,0.0,0,32875.0,0
59.0,1,1,8.0,2,0,3,4.0,4,3.0,2,4.0,1,5,1,0.0,0,28726.0,0
35.0,1,1,14.0,2,0,3,4.0,3,4.0,2,2.0,0,5,0,1.0,3,30672.0,0
36.0,1,3,24.0,2,1,4,4.0,1,5.0,1,5.0,1,3,0,3.0,2,27644.0,0
33.0,1,2,9.0,2,1,2,3.0,0,4.0,1,4.0,1,5,0,1.0,1,17277.0,0
47.0,1,1,31.0,3,1,2,3.0,3,3.0,3,3.0,0,3,1,0.0,3,23633.0,0
24.0,1,1,17.0,3,1,4,2.0,0,3.0,3,3.0,0,1,0,2.0,1,22183.0,0
33.0,0,1,31.0,2,1,4,4.0,1,3.0,1,3.0,0,4,1,3.0,2,23987.0,0
33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0,0
33.0,1,1,7.0,2,1,4,4.0,1,4.0,0,3.0,0,3,0,1.0,2,24898.0,0
35.0,1,3,10.0,2,1,3,6.0,1,5.0,3,5.0,0,5,1,2.0,2,23437.0,0
37.0,1,3,18.0,3,0,4,5.0,1,3.0,1,6.0,0,1,1,2.0,2,25330.0,0
36.0,1,2,33.0,2,0,3,4.0,3,3.0,3,3.0,1,1,1,1.0,3,27515.0,0
32.0,1,3,25.0,2,1,3,5.0,3,3.0,1,4.0,0,3,1,2.0,3,24610.0,0
35.0,1,1,11.0,1,1,3,3.0,3,4.0,3,1.0,0,3,0,0.0,3,23095.0,0
38.0,1,1,17.0,2,0,3,2.0,3,3.0,1,3.0,1,1,0,2.0,3,32422.0,0
35.0,1,1,11.0,1,1,3,3.0,3,4.0,3,1.0,0,3,1,1.0,3,23095.0,0
55.0,1,3,24.0,2,0,2,3.0,4,4.0,2,4.0,0,2,0,1.0,0,31835.0,0
29.0,1,1,31.0,3,1,3,4.0,0,4.0,1,3.0,1,1,0,1.0,1,21086.0,1
50.0,1,1,16.0,1,1,3,4.0,3,3.0,3,7.0,0,5,0,2.0,3,25496.0,0
31.0,0,1,6.0,2,0,3,1.0,3,4.0,3,2.0,0,3,1,2.0,3,22446.0,1
31.0,1,3,8.0,2,1,2,3.0,0,3.0,1,1.0,0,4,1,0.0,1,18067.0,0
46.0,0,3,33.0,3,1,3,5.0,1,5.0,1,3.0,0,3,0,1.0,2,23063.0,0
36.0,1,1,12.0,2,1,2,3.0,0,3.0,1,1.0,0,5,1,1.0,1,18210.0,0
36.0,1,1,7.0,3,1,3,5.0,0,3.0,0,8.0,0,2,1,2.0,1,20936.0,0
30.0,1,1,28.0,2,0,2,3.0,0,3.0,0,5.0,1,2,0,1.0,1,17132.0,1
35.0,0,1,9.0,2,1,2,4.0,0,3.0,0,2.0,0,2,1,1.0,1,16281.0,0
40.0,1,1,10.0,3,0,2,3.0,2,3.0,1,2.0,0,5,1,1.0,4,34033.0,0
36.0,0,1,18.0,3,1,4,5.0,3,5.0,0,4.0,1,5,1,2.0,3,28562.0,0
38.0,0,1,9.0,2,1,2,3.0,0,3.0,1,4.0,0,3,1,0.0,1,17821.0,0
28.0,1,1,24.0,1,1,3,4.0,0,4.0,0,2.0,1,4,1,1.0,1,21736.0,0
49.0,1,1,13.0,2,1,4,5.0,1,3.0,3,4.0,0,2,0,1.0,2,22918.0,0
56.0,0,3,12.0,2,0,2,1.0,4,5.0,1,1.0,0,3,1,0.0,0,28212.0,0
59.0,1,1,30.0,2,1,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,21050.0,0
35.0,1,1,22.0,3,1,2,1.0,0,4.0,1,1.0,0,4,1,1.0,1,17426.0,0
29.0,1,3,10.0,3,0,4,4.0,0,4.0,1,3.0,0,1,1,1.0,1,21534.0,0
30.0,1,1,34.0,3,0,4,4.0,1,3.0,1,6.0,0,1,0,2.0,2,23013.0,0
50.0,1,3,6.0,3,0,3,3.0,2,3.0,1,4.0,0,1,1,0.0,4,34517.0,0
30.0,1,1,9.0,1,0,2,3.0,0,5.0,2,6.0,1,4,0,0.0,1,17657.0,1
36.0,0,1,7.0,3,1,4,4.0,0,5.0,1,6.0,0,1,0,2.0,1,20872.0,0
29.0,1,1,12.0,1,1,3,4.0,0,3.0,3,3.0,1,2,1,1.0,1,22119.0,1
29.0,1,1,8.0,2,1,3,3.0,0,4.0,0,1.0,0,4,0,0.0,1,17703.0,0
54.0,1,1,8.0,1,0,2,3.0,3,3.0,0,1.0,0,4,1,0.0,3,28549.0,0
41.0,0,1,8.0,2,0,3,4.0,1,3.0,3,3.0,1,2,0,0.0,2,21811.0,0
43.0,0,1,36.0,2,0,4,4.0,1,3.0,1,4.0,0,3,1,2.0,2,23234.0,0
42.0,1,1,6.0,2,0,3,3.0,0,5.0,1,4.0,0,3,0,2.0,1,17576.0,0
33.0,1,3,11.0,2,0,3,4.0,0,4.0,0,4.0,0,3,1,1.0,1,22609.0,0
35.0,0,1,10.0,2,1,3,5.0,0,3.0,1,5.0,0,1,0,1.0,1,21657.0,0
35.0,1,1,15.0,3,0,4,4.0,1,3.0,3,5.0,0,4,1,2.0,2,24820.0,0
40.0,1,3,31.0,3,1,2,4.0,3,4.0,3,3.0,1,5,0,1.0,3,24094.0,1
29.0,1,1,24.0,3,1,2,4.0,0,3.0,2,2.0,1,3,0,0.0,1,17389.0,1
31.0,0,3,32.0,1,0,3,4.0,1,3.0,1,2.0,1,3,1,2.0,2,23414.0,0
36.0,1,1,11.0,2,0,2,3.0,3,5.0,1,5.0,0,4,1,1.0,3,23008.0,0
27.0,0,1,8.0,3,1,2,3.0,0,3.0,2,3.0,0,3,0,1.0,1,17580.0,0
27.0,0,1,7.0,2,0,3,4.0,1,4.0,1,3.0,0,5,1,2.0,2,25075.0,0
32.0,0,3,14.0,3,0,2,3.0,3,3.0,3,2.0,0,4,1,1.0,3,23998.0,0
38.0,0,2,6.0,2,1,2,3.0,0,4.0,1,1.0,1,1,1,1.0,1,17991.0,0
38.0,1,2,13.0,2,1,4,4.0,0,5.0,1,6.0,1,2,1,1.0,1,20751.0,1
48.0,1,1,26.0,3,1,2,3.0,0,3.0,1,5.0,0,1,1,0.0,1,17259.0,0
25.0,0,1,14.0,2,0,3,4.0,0,3.0,0,3.0,1,4,0,1.0,1,21564.0,1
46.0,0,1,14.0,2,1,4,4.0,3,5.0,1,3.0,0,2,1,3.0,3,23888.0,0
60.0,1,3,22.0,3,1,2,3.0,1,5.0,2,1.0,0,4,1,0.0,2,20405.0,0
31.0,0,1,9.0,3,0,3,4.0,0,3.0,2,2.0,0,4,1,1.0,1,21242.0,0
33.0,1,1,16.0,3,0,3,4.0,0,5.0,3,2.0,0,4,1,1.0,1,22878.0,1
20.0,1,3,29.0,3,1,3,4.0,0,3.0,2,3.0,1,1,1,1.0,1,20353.0,1
41.0,0,1,16.0,3,0,3,4.0,3,3.0,2,2.0,0,4,1,2.0,3,32177.0,0
29.0,1,1,13.0,3,0,3,4.0,0,3.0,1,7.0,0,5,1,1.0,1,17532.0,0
37.0,1,2,15.0,2,1,4,5.0,0,5.0,0,2.0,0,2,1,3.0,1,21020.0,0
41.0,1,3,16.0,3,1,3,4.0,1,5.0,1,2.0,0,3,1,2.0,2,24151.0,0
36.0,0,1,14.0,2,0,3,2.0,3,5.0,0,1.0,0,3,0,0.0,3,26713.0,0
31.0,1,3,12.0,3,1,3,2.0,1,3.0,1,5.0,0,5,1,2.0,2,20460.0,0
50.0,1,3,9.0,3,1,2,4.0,0,3.0,0,2.0,1,4,0,0.0,1,17683.0,1
36.0,1,3,23.0,3,1,2,4.0,1,4.0,1,3.0,0,4,1,0.0,2,20507.0,0
39.0,0,1,8.0,1,0,3,3.0,3,3.0,3,1.0,0,2,1,1.0,3,25938.0,0
30.0,1,1,15.0,3,1,2,4.0,0,3.0,2,2.0,0,4,0,1.0,1,17206.0,0
28.0,1,1,13.0,2,1,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0,0
42.0,1,3,13.0,2,0,4,4.0,3,3.0,2,5.0,1,2,0,2.0,3,32269.0,0
39.0,1,1,12.0,2,0,2,3.0,3,4.0,3,5.0,0,3,0,1.0,3,23376.0,0
44.0,0,1,29.0,3,1,3,3.0,1,4.0,1,5.0,0,3,0,1.0,2,17042.0,0
32.0,1,3,20.0,3,1,3,4.0,1,5.0,1,4.0,0,2,0,1.0,2,22911.0,1
42.0,0,3,17.0,3,1,3,6.0,1,4.0,3,3.0,0,1,1,1.0,2,24829.0,0
35.0,1,1,6.0,2,0,2,1.0,0,3.0,2,4.0,0,3,0,0.0,1,17506.0,0
30.0,0,1,9.0,3,1,3,5.0,0,5.0,3,2.0,0,4,1,2.0,1,22017.0,1
30.0,1,3,16.0,3,1,3,4.0,1,3.0,0,2.0,0,2,1,0.0,2,21578.0,0
56.0,1,1,15.0,3,1,2,3.0,4,3.0,0,1.0,0,4,0,0.0,0,26103.0,0
28.0,1,1,12.0,2,0,3,4.0,0,4.0,2,3.0,1,3,0,2.0,1,21156.0,0
50.0,1,3,18.0,3,0,3,4.0,3,3.0,1,3.0,0,4,0,1.0,3,26332.0,1
28.0,1,3,11.0,3,1,2,3.0,1,5.0,3,1.0,0,1,1,0.0,2,23463.0,0
33.0,1,1,8.0,2,0,2,3.0,0,5.0,0,1.0,0,3,1,0.0,1,17707.0,1
36.0,0,3,14.0,1,1,2,3.0,1,3.0,1,5.0,0,3,1,0.0,2,20079.0,0
59.0,1,2,12.0,3,1,2,3.0,0,3.0,1,1.0,0,4,0,0.0,1,17267.0,0
44.0,0,1,16.0,2,1,3,4.0,0,3.0,2,6.0,0,3,0,2.0,1,21116.0,0
30.0,1,1,30.0,2,1,3,3.0,0,3.0,1,2.0,0,2,0,1.0,1,17693.0,0
43.0,0,3,21.0,2,1,2,4.0,1,3.0,0,4.0,0,5,0,1.0,2,21804.0,0
42.0,1,1,8.0,2,1,3,4.0,1,3.0,3,4.0,0,2,0,1.0,2,21781.0,0
39.0,1,3,27.0,2,1,2,4.0,1,3.0,0,4.0,1,1,0,1.0,2,21120.0,0
30.0,1,1,10.0,3,1,3,4.0,0,5.0,3,3.0,1,3,0,2.0,1,23401.0,0
38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,1.0,3,26169.0,0
30.0,1,1,15.0,2,1,4,6.0,0,5.0,1,3.0,1,3,0,2.0,1,20797.0,1
61.0,0,3,35.0,3,0,4,5.0,3,5.0,1,6.0,0,1,1,1.0,3,28944.0,0
30.0,1,1,34.0,3,0,3,3.0,1,3.0,1,2.0,0,3,1,2.0,2,20775.0,0
39.0,1,3,7.0,2,0,3,5.0,1,3.0,3,6.0,0,1,0,2.0,2,27364.0,0
46.0,1,1,8.0,1,1,2,3.0,1,3.0,1,3.0,0,1,0,0.0,2,22379.0,0
20.0,1,3,27.0,3,1,2,1.0,0,3.0,2,2.0,0,3,0,0.0,1,17678.0,0
34.0,1,1,20.0,2,0,3,4.0,0,3.0,3,5.0,0,3,1,1.0,1,22130.0,0
31.0,1,1,23.0,2,1,3,2.0,1,3.0,1,5.0,0,1,1,1.0,2,23972.0,0
39.0,1,1,6.0,3,0,3,3.0,0,3.0,1,1.0,0,3,0,1.0,1,17232.0,0
38.0,1,1,8.0,3,1,3,3.0,0,3.0,0,7.0,1,4,0,0.0,1,18057.0,0
29.0,1,1,34.0,2,0,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17514.0,0
37.0,1,1,25.0,2,1,3,3.0,0,4.0,1,5.0,0,4,0,1.0,1,18022.0,0
43.0,1,1,8.0,3,0,3,2.0,0,3.0,1,2.0,0,2,0,1.0,1,17645.0,0
42.0,1,1,15.0,3,0,4,4.0,0,5.0,1,3.0,1,3,0,3.0,1,22781.0,1
22.0,0,1,32.0,2,0,2,4.0,0,3.0,1,2.0,1,3,0,0.0,1,17814.0,0
36.0,1,1,12.0,2,1,2,5.0,0,3.0,1,2.0,0,1,1,0.0,1,17741.0,0
43.0,1,1,25.0,2,1,3,4.0,1,5.0,1,8.0,1,1,0,1.0,2,24088.0,0
40.0,1,1,6.0,2,1,2,3.0,0,3.0,1,1.0,0,1,0,0.0,1,17406.0,0
34.0,1,3,16.0,3,0,4,4.0,1,5.0,3,2.0,1,3,0,2.0,2,26902.0,1
47.0,0,3,33.0,2,1,4,5.0,1,4.0,3,2.0,0,4,1,3.0,2,26669.0,0
48.0,1,1,21.0,2,0,3,3.0,0,5.0,1,1.0,0,1,1,0.0,1,17367.0,0
18.0,1,3,15.0,3,1,2,3.0,0,3.0,2,2.0,0,5,0,1.0,1,16611.0,1
38.0,0,3,26.0,3,1,3,4.0,3,4.0,3,3.0,1,5,0,1.0,3,26320.0,0
31.0,1,1,9.0,3,0,3,5.0,1,3.0,3,7.0,1,2,1,2.0,2,25555.0,0
46.0,1,1,27.0,3,1,4,4.0,4,3.0,0,2.0,1,3,0,1.0,0,32174.0,0
36.0,1,1,30.0,3,1,4,6.0,0,3.0,1,2.0,0,1,1,1.0,1,21383.0,0
21.0,1,1,9.0,3,1,3,4.0,0,3.0,2,2.0,0,5,1,1.0,1,18230.0,0
44.0,1,1,21.0,3,0,3,3.0,3,3.0,0,2.0,0,3,0,1.0,3,22978.0,1
48.0,1,1,10.0,2,1,2,3.0,3,3.0,3,2.0,0,5,1,1.0,3,22898.0,0
33.0,0,1,6.0,2,0,2,1.0,1,4.0,0,2.0,1,3,0,1.0,2,20488.0,0
28.0,0,1,6.0,3,1,2,4.0,0,4.0,1,2.0,0,4,1,0.0,1,17596.0,1
37.0,1,1,10.0,1,1,2,4.0,1,4.0,3,6.0,0,1,1,1.0,2,23163.0,0
37.0,1,3,22.0,3,1,3,4.0,1,3.0,1,5.0,0,5,1,0.0,2,21334.0,0
45.0,0,1,13.0,2,1,3,1.0,1,3.0,1,5.0,0,1,1,0.0,2,21434.0,0
46.0,1,3,9.0,3,1,2,3.0,4,3.0,1,4.0,0,1,1,0.0,0,32465.0,0
47.0,0,1,25.0,3,0,3,4.0,3,3.0,0,7.0,0,3,1,1.0,3,29205.0,0
32.0,1,1,6.0,2,1,3,3.0,0,5.0,2,2.0,0,2,0,2.0,1,17956.0,0
39.0,1,1,16.0,3,1,2,3.0,4,5.0,0,2.0,1,3,1,1.0,0,32068.0,0
21.0,0,3,15.0,3,1,2,3.0,0,3.0,2,2.0,0,4,0,0.0,1,17610.0,0
38.0,1,1,32.0,3,0,3,5.0,1,3.0,1,2.0,0,3,1,1.0,2,24409.0,0
45.0,0,1,6.0,3,1,2,3.0,1,3.0,2,5.0,0,1,1,1.0,2,20399.0,0
45.0,1,1,35.0,1,1,2,3.0,3,3.0,0,5.0,1,5,1,0.0,3,24380.0,0
22.0,1,1,10.0,3,1,4,5.0,0,3.0,3,3.0,0,5,1,3.0,1,21908.0,0
32.0,1,1,11.0,2,1,3,1.0,0,4.0,1,1.0,1,1,1,2.0,1,18298.0,0
37.0,1,1,9.0,2,0,4,4.0,1,4.0,1,6.0,1,4,0,1.0,2,25640.0,0
40.0,1,1,8.0,3,0,2,4.0,0,3.0,2,1.0,1,3,0,0.0,1,17342.0,0
31.0,0,1,12.0,3,0,3,4.0,0,4.0,2,2.0,0,3,0,1.0,1,21100.0,1
52.0,0,1,7.0,3,0,2,5.0,3,5.0,3,5.0,0,2,1,1.0,3,26162.0,0
38.0,1,1,13.0,3,1,3,2.0,1,5.0,1,6.0,1,3,1,2.0,2,24652.0,0
21.0,0,3,16.0,3,0,3,4.0,0,3.0,2,3.0,1,4,1,1.0,1,21001.0,1
41.0,1,1,14.0,2,1,4,4.0,0,5.0,2,5.0,1,3,0,2.0,1,20844.0,1
37.0,1,3,23.0,3,0,4,5.0,1,5.0,0,6.0,0,5,1,1.0,2,24325.0,0
47.0,1,3,8.0,2,0,2,1.0,4,4.0,1,7.0,0,1,0,0.0,0,30972.0,0
36.0,0,1,7.0,3,1,4,4.0,0,5.0,0,6.0,0,2,0,2.0,1,20872.0,0
35.0,1,1,29.0,3,1,3,5.0,0,3.0,1,1.0,0,1,1,0.0,1,17705.0,0
22.0,1,1,25.0,3,1,3,3.0,0,3.0,1,2.0,0,1,1,0.0,1,17323.0,0
26.0,1,3,35.0,2,1,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0,0
26.0,1,3,15.0,2,1,3,2.0,1,4.0,1,2.0,0,4,1,1.0,2,23529.0,0
29.0,0,1,16.0,2,0,3,3.0,0,4.0,1,1.0,0,5,1,0.0,1,18291.0,0
31.0,1,2,8.0,2,1,3,4.0,1,5.0,1,4.0,0,3,0,2.0,2,21410.0,0
39.0,1,3,12.0,3,1,2,1.0,3,3.0,1,3.0,0,4,1,1.0,3,23237.0,0
46.0,1,1,36.0,3,1,3,4.0,0,3.0,3,7.0,0,1,1,1.0,1,22130.0,0
29.0,1,1,9.0,3,1,3,6.0,0,3.0,1,7.0,1,3,1,2.0,1,22142.0,1
36.0,1,1,15.0,3,1,2,4.0,1,4.0,1,3.0,1,4,1,0.0,2,23847.0,0
30.0,1,3,21.0,3,1,3,4.0,3,5.0,1,3.0,0,1,0,2.0,3,22140.0,0
34.0,1,3,23.0,3,0,4,4.0,1,5.0,3,7.0,0,3,1,1.0,2,24002.0,1
41.0,0,3,31.0,2,0,4,2.0,4,4.0,2,6.0,1,3,1,1.0,0,31872.0,1
27.0,1,1,12.0,3,0,3,4.0,0,3.0,1,1.0,0,1,0,1.0,1,17187.0,0
36.0,1,1,11.0,2,1,4,4.0,0,3.0,1,3.0,0,4,1,2.0,1,20629.0,0
46.0,1,1,6.0,3,1,3,3.0,3,5.0,1,1.0,0,1,0,2.0,3,24396.0,0
44.0,0,1,8.0,3,1,2,3.0,3,3.0,3,6.0,1,1,0,1.0,3,25209.0,0
28.0,0,1,12.0,2,1,2,4.0,0,3.0,1,2.0,1,4,1,0.0,1,17703.0,0
29.0,1,1,14.0,3,1,3,4.0,1,3.0,1,2.0,1,3,1,1.0,2,20056.0,0
18.0,0,1,6.0,2,0,3,3.0,0,3.0,2,2.0,0,5,1,1.0,1,16611.0,0
43.0,1,3,11.0,3,1,3,4.0,1,5.0,3,2.0,0,5,1,2.0,2,23833.0,0
38.0,1,3,10.0,2,1,3,4.0,3,3.0,3,4.0,0,3,0,1.0,3,26106.0,0
37.0,0,1,18.0,2,1,4,5.0,1,4.0,3,3.0,0,4,1,2.0,2,25177.0,0
44.0,0,1,11.0,2,1,2,4.0,0,3.0,2,4.0,0,1,0,1.0,1,18162.0,0
51.0,1,1,9.0,3,0,3,3.0,4,4.0,2,4.0,0,5,0,1.0,0,28734.0,0
40.0,1,3,6.0,3,1,2,5.0,1,3.0,1,3.0,1,3,1,0.0,2,22457.0,0
38.0,0,1,32.0,3,0,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,23127.0,0
42.0,1,3,14.0,3,1,2,3.0,1,4.0,1,1.0,0,3,1,0.0,2,21825.0,0
58.0,1,1,29.0,3,0,3,3.0,3,3.0,0,2.0,0,3,1,0.0,3,25312.0,1
34.0,1,1,15.0,2,1,2,3.0,3,3.0,1,1.0,0,5,1,1.0,3,23500.0,0
31.0,1,1,9.0,3,1,3,5.0,0,3.0,3,2.0,0,4,0,1.0,1,21398.0,0
37.0,0,1,15.0,3,1,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0,0
29.0,1,1,13.0,1,0,2,3.0,0,3.0,1,4.0,1,4,1,0.0,1,31124.0,1
30.0,1,3,17.0,3,1,3,4.0,0,4.0,1,3.0,0,1,1,1.0,1,20975.0,0
26.0,1,2,31.0,2,0,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17942.0,0
59.0,1,1,30.0,3,0,4,4.0,3,3.0,1,3.0,0,3,1,1.0,3,28990.0,1
34.0,1,3,6.0,3,1,3,1.0,1,3.0,1,1.0,0,5,0,1.0,2,24725.0,0
52.0,1,1,13.0,2,1,3,4.0,2,3.0,2,2.0,0,5,1,2.0,4,38215.0,0
37.0,1,3,9.0,2,1,2,3.0,3,3.0,3,3.0,0,3,0,1.0,3,22428.0,0
38.0,1,1,6.0,2,0,2,1.0,1,3.0,3,1.0,0,1,0,0.0,2,22625.0,0
46.0,1,1,16.0,2,1,3,4.0,1,4.0,1,2.0,0,4,1,1.0,2,21026.0,0
49.0,1,3,36.0,3,0,4,4.0,3,3.0,0,5.0,0,4,0,1.0,3,31182.0,0
33.0,1,1,16.0,2,0,4,4.0,1,3.0,0,3.0,1,5,1,3.0,2,25000.0,0
51.0,0,3,19.0,3,0,4,4.0,3,3.0,3,6.0,0,5,1,3.0,3,27886.0,0
26.0,1,3,11.0,3,1,3,5.0,1,5.0,0,3.0,0,3,1,2.0,2,22934.0,0
24.0,1,3,6.0,1,0,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,18202.0,1
30.0,1,1,15.0,2,0,3,6.0,1,5.0,1,5.0,0,1,0,1.0,2,28393.0,0
44.0,1,1,34.0,2,1,2,3.0,4,5.0,0,4.0,0,1,1,0.0,0,31328.0,0
35.0,1,1,7.0,3,1,4,4.0,1,4.0,1,3.0,0,5,1,3.0,2,23003.0,0
34.0,0,3,12.0,3,0,2,5.0,0,3.0,1,1.0,0,4,0,1.0,1,17351.0,1
20.0,0,3,7.0,1,0,4,6.0,0,5.0,2,2.0,0,3,1,1.0,1,21003.0,1
29.0,0,1,31.0,1,1,4,5.0,3,5.0,3,3.0,0,1,1,2.0,3,27400.0,1
35.0,0,1,14.0,2,1,4,6.0,1,3.0,3,3.0,1,5,1,2.0,2,24752.0,1
41.0,1,1,27.0,1,1,4,4.0,3,3.0,1,6.0,0,3,1,2.0,3,29000.0,0
34.0,1,1,9.0,3,1,4,4.0,0,3.0,2,6.0,0,3,1,3.0,1,21174.0,0
53.0,1,1,6.0,2,1,3,4.0,3,4.0,2,2.0,0,3,1,2.0,3,29123.0,0
36.0,1,1,29.0,2,0,4,3.0,3,4.0,1,2.0,0,5,1,2.0,3,30674.0,0
38.0,1,1,16.0,3,0,2,5.0,3,3.0,1,4.0,0,1,1,1.0,3,28206.0,0
32.0,1,1,9.0,2,1,4,4.0,0,3.0,1,3.0,0,5,0,3.0,1,22155.0,0
29.0,0,1,6.0,2,1,3,5.0,0,3.0,1,2.0,0,1,0,2.0,1,17720.0,0
51.0,1,3,15.0,3,1,3,4.0,0,4.0,0,2.0,0,2,1,1.0,1,22553.0,0
36.0,1,1,7.0,3,1,2,5.0,0,3.0,3,3.0,0,4,1,1.0,1,21537.0,0
36.0,1,3,23.0,3,1,4,4.0,3,4.0,1,2.0,0,1,1,2.0,3,26698.0,0
50.0,1,1,13.0,3,0,2,4.0,2,3.0,1,6.0,1,4,1,1.0,4,33740.0,0
58.0,1,1,7.0,3,1,3,4.0,1,3.0,0,4.0,0,3,1,2.0,2,25433.0,0
28.0,1,1,7.0,3,1,3,4.0,0,4.0,1,3.0,0,3,0,1.0,1,22494.0,0
26.0,1,1,7.0,2,0,4,4.0,1,3.0,0,2.0,0,3,1,2.0,2,23576.0,0
36.0,1,3,9.0,2,1,2,4.0,3,3.0,0,2.0,1,2,1,0.0,3,25325.0,1
27.0,1,1,23.0,3,1,3,4.0,0,4.0,1,4.0,1,2,1,2.0,1,21051.0,1
43.0,1,1,17.0,2,1,1,3.0,3,3.0,1,2.0,0,1,1,0.0,3,22510.0,0
33.0,1,3,15.0,3,0,3,3.0,1,5.0,3,1.0,1,3,0,0.0,2,23224.0,1
31.0,1,1,29.0,2,0,3,4.0,0,3.0,0,6.0,1,2,0,2.0,1,20810.0,1
45.0,1,1,14.0,3,0,3,5.0,3,3.0,0,5.0,0,4,1,1.0,3,28926.0,0
57.0,1,1,14.0,2,1,3,6.0,3,3.0,3,6.0,0,1,0,1.0,3,25938.0,0
60.0,1,1,25.0,3,1,4,4.0,3,3.0,2,8.0,0,3,1,2.0,3,29190.0,0
33.0,1,1,7.0,3,1,3,4.0,1,3.0,0,3.0,1,4,1,1.0,2,24840.0,0
42.0,1,1,13.0,3,1,3,4.0,0,5.0,3,4.0,1,4,1,2.0,1,23399.0,0
47.0,1,3,16.0,3,1,4,5.0,3,3.0,3,3.0,0,5,1,3.0,3,28297.0,1
50.0,1,1,13.0,2,0,3,5.0,4,3.0,1,4.0,1,5,1,1.0,0,32644.0,0
57.0,1,1,30.0,2,1,2,1.0,3,3.0,1,4.0,1,4,1,0.0,3,24439.0,0
44.0,1,1,9.0,2,1,2,3.0,0,5.0,0,5.0,0,5,1,1.0,1,17362.0,1
41.0,1,1,21.0,3,1,3,5.0,2,3.0,2,3.0,0,3,1,2.0,4,38304.0,0
46.0,0,3,9.0,2,0,4,4.0,1,3.0,1,6.0,0,1,1,3.0,2,23832.0,0
44.0,0,1,28.0,3,1,4,4.0,0,3.0,1,2.0,0,4,1,3.0,1,20936.0,0
29.0,1,1,36.0,2,1,4,6.0,1,4.0,0,3.0,0,1,1,3.0,2,25227.0,0
36.0,1,1,23.0,3,1,3,3.0,0,4.0,0,2.0,0,3,1,2.0,1,21104.0,0
20.0,1,1,16.0,2,1,3,4.0,0,5.0,2,3.0,0,3,0,2.0,1,21230.0,0
35.0,1,1,15.0,2,1,3,4.0,1,4.0,3,1.0,0,1,0,1.0,2,21540.0,0
43.0,1,1,9.0,2,0,3,4.0,1,3.0,1,3.0,0,1,0,1.0,2,22767.0,0
33.0,1,3,26.0,2,1,4,6.0,3,3.0,1,5.0,0,3,1,3.0,3,28288.0,0
